fid,Артикул,Название товара,Полное описание,Производитель,Цена продажи,Цена старая,Остаток,Изображения,Url,Подкатегория 1,ID товара в InSales,ID варианта товара в InSales
11,64044,"Смеситель для кухни (мойки) KAISER Sharp (64044), высокий излив, хром","**KAISER Sharp 64044 Chrome Смеситель для кухни Хром**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,8780.0,0.0,0,https://static-ru.insales.ru/images/products/1/4558/486216142/medium_31274746-1.jpg https://static-ru.insales.ru/images/products/1/4559/486216143/medium_31274746-2.jpg,https://santitan.ru/product_by_id/269460608,Wildberries WB,269460608,467761528
12,2070800/27144,"Смеситель для кухни (мойки) KAISER King (2070800/27144), хром","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

Смеситель для кухонной мойки KAISER King (2070800/27144)

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,7510.0,0.0,5,https://static-ru.insales.ru/images/products/1/4563/486216147/medium_31274759-1.jpg https://static-ru.insales.ru/images/products/1/4564/486216148/medium_31274759-2.jpg,https://santitan.ru/product_by_id/269460610,Wildberries WB,269460610,467761533
13,14011An,"Смеситель для кухни (мойки) KAISER Magistro (14011An), бронза","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Magistro 14011 Bronze Смеситель для кухни Бронза**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: бронза
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,3760.0,0.0,5,https://static-ru.insales.ru/images/products/1/4565/486216149/medium_31274761-1.jpg https://static-ru.insales.ru/images/products/1/4566/486216150/medium_31274761-2.jpg,https://santitan.ru/product_by_id/269460612,Wildberries WB,269460612,467761540
14,21144,"Смеситель для кухни (мойки) KAISER City (21144), хром","**KAISER City 21144/19094 Сhrome Смеситель для кухни Хром**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,5050.0,0.0,5,https://static-ru.insales.ru/images/products/1/4561/486216145/medium_31274747-1.jpg https://static-ru.insales.ru/images/products/1/4562/486216146/medium_31274747-2.jpg,https://santitan.ru/product_by_id/269460615,Wildberries WB,269460615,467761551
15,34033-1SBG,"Смеситель для кухни (мойки) KAISER Sonat (34033-1 SBG), песочный мрамор","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Sonat 34033-1 SBG Смеситель для кухни Песочный мрамор (бежевый песок)**

 Тип: однорычажный

- Назначение: для кухни
- Материал: латунь
- Поверхность: песочный мрамор
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,10384.0,0.0,0,https://static-ru.insales.ru/images/products/1/4567/486216151/medium_31274779-1.jpg https://static-ru.insales.ru/images/products/1/4568/486216152/medium_31274779-2.jpg,https://santitan.ru/product_by_id/269460619,Wildberries WB,269460619,467761556
16,11014,Смеситель для кухонной мойки KAISER Carlson Eco (11014),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Carlson 11014 Сhrome Смеситель для кухни Хром**

- Тип: двухвентильный
- Назначение: для мойки
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,4510.0,0.0,5,https://static-ru.insales.ru/images/products/1/4571/486216155/medium_31274782-1.jpg https://static-ru.insales.ru/images/products/1/4572/486216156/medium_31274782-2.jpg,https://santitan.ru/product_by_id/269460622,Wildberries WB,269460622,467761568
17,2070790/27044,Смеситель для кухонной мойки KAISER King (2070790/27044),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

Смеситель для кухонной мойки KAISER King (2070790/27044)

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,7510.0,0.0,5,https://static-ru.insales.ru/images/products/1/4618/486216202/medium_31274881-1.jpg https://static-ru.insales.ru/images/products/1/4619/486216203/medium_31274881-2.jpg,https://santitan.ru/product_by_id/269460625,Wildberries WB,269460625,467761575
18,34044-3,"Смеситель для кухни (мойки) KAISER Sonat (34044-3), бронза","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Sonat 34044-3 Bronze Смеситель для кухни под фильтр Бронза**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: бронза
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,11590.0,0.0,5,https://static-ru.insales.ru/images/products/1/4569/486216153/medium_31274781-1.jpg https://static-ru.insales.ru/images/products/1/4570/486216154/medium_31274781-2.jpg,https://santitan.ru/product_by_id/269460628,Wildberries WB,269460628,467761582
19,14022BlPa,"Смеситель для кухни (мойки) KAISER Magistro (14022BlPa), черный","Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Magistro 14022 Black Смеситель для кухни Черный матовый**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: черный матовый
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,3320.0,0.0,5,https://static-ru.insales.ru/images/products/1/4573/486216157/medium_31274786-1.jpg https://static-ru.insales.ru/images/products/1/4574/486216158/medium_31274786-2.jpg,https://santitan.ru/product_by_id/269460630,Wildberries WB,269460630,467761591
20,28133,Смеситель для кухонной мойки KAISER Crystal (28133),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

**KAISER Crystal 28133 Chrome Смеситель для кухни Хром**

- Тип: двухзахватный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,3040.0,0.0,0,https://static-ru.insales.ru/images/products/1/4576/486216160/medium_31274787-1.jpg https://static-ru.insales.ru/images/products/1/4577/486216161/medium_31274787-2.jpg,https://santitan.ru/product_by_id/269460633,Wildberries WB,269460633,467761598
21,55244-6,Смеситель для кухонной мойки KAISER County (55244-6) Бежевый мрамор,"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER County 55244-6 Beige Sandbeige Смеситель для кухни Бежевый мрамор**

 Тип: однорычажный

- Назначение: для кухни
- Материал: латунь
- Поверхность: бежевый мрамор
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,4430.0,0.0,5,https://static-ru.insales.ru/images/products/1/4579/486216163/medium_31274789-1.jpg https://static-ru.insales.ru/images/products/1/4581/486216165/medium_31274789-2.jpg,https://santitan.ru/product_by_id/269460637,Wildberries WB,269460637,467761606
22,F729261CP-RUS,Смеситель для кухни с подключением питьевой воды Bravat Palace (F729261CP-RUS),"На заводах BRAVAT установлены собственные линии литья и гальваники, а также автоматическая полировка. Для изготовления всех смесителей используется высококачественная латунь класса А+ (CW617N), содержание свинца и прочих примесей в такой латуни очень низко (свинец всегда менее 1 %).

Смеситель для кухни с подключением питьевой воды Bravat Palace (F729261CP-RUS)

Корпус - латунь 

Ручка - цинк

Керамический картридж Kerox 35mm

Гибкая подводка 450mm M10-G1/2 SS 2шт 

Аэратор 

Покрытие: Хром 

Поток воды: 8.3L/min @ 0.3 MPa",Bravat,11190.0,0.0,0,https://static-ru.insales.ru/images/products/1/4585/486216169/medium_31274798-1.jpg https://static-ru.insales.ru/images/products/1/4586/486216170/medium_31274798-2.jpg,https://santitan.ru/product_by_id/269460638,Wildberries WB,269460638,467761615
23,13044-3,Смеситель для кухонной мойки KAISER Teka (13044-3),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

**KAISER Teka 13044-3 Bronze Смеситель для кухни под фильтр Бронза**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: бронза
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,9540.0,0.0,5,https://static-ru.insales.ru/images/products/1/4587/486216171/medium_31274807-1.jpg https://static-ru.insales.ru/images/products/1/4588/486216172/medium_31274807-2.jpg,https://santitan.ru/product_by_id/269460643,Wildberries WB,269460643,467761625
24,15066-5Silver,"Смеситель для кухни (мойки) KAISER Safira 15066-5 Silver под фильтр, хром","**Смеситель для кухни KAISER Safira 15066-5 Silver под фильтр Серебро**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: серебро
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,17601.0,0.0,0,https://static-ru.insales.ru/images/products/1/4550/486216134/medium_31274715-1.jpg https://static-ru.insales.ru/images/products/1/4551/486216135/medium_31274715-2.jpg,https://santitan.ru/product_by_id/269460647,Wildberries WB,269460647,467761631
25,23044,"Смеситель для кухни (мойки) KAISER Nova (23044), хром","Смеситель для кухонной мойки KAISER Nova (23044)

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: хром
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,6290.0,0.0,5,https://static-ru.insales.ru/images/products/1/4554/486216138/medium_31274717-1.jpg https://static-ru.insales.ru/images/products/1/4555/486216139/medium_31274717-2.jpg,https://santitan.ru/product_by_id/269460651,Wildberries WB,269460651,467761637
26,31944-1,"Смеситель для кухни (мойки) KAISER Vincent (31944-1), высокий излив, бронза","Смеситель KAISER Vincent кухня боковой под фильтр d35 (бронза)

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.",KAISER,10250.0,0.0,5,https://static-ru.insales.ru/images/products/1/4556/486216140/medium_31274730-1.jpg https://static-ru.insales.ru/images/products/1/4557/486216141/medium_31274730-2.jpg,https://santitan.ru/product_by_id/269460654,Wildberries WB,269460654,467761642
27,31844,Смеситель для кухонной мойки KAISER Vincent (31844),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Vincent 31844 Chrome Смеситель для кухни под фильтр Хром**

- Конструкция: однорычажный
- Излив: поворотный
- Форма излива: Г-образная
- Длина излива: 227 мм
- Высота до аэратора: 285 мм
- Высота до крайней точки: 377 мм
- Материал: латунь
- Цвет: хром

В комплект входит гибкая подводка, резьба G 1/2""",KAISER,8940.0,0.0,5,https://static-ru.insales.ru/images/products/1/4604/486216188/medium_31274852-1.jpg https://static-ru.insales.ru/images/products/1/4605/486216189/medium_31274852-2.jpg,https://santitan.ru/product_by_id/269460657,Wildberries WB,269460657,467761653
28,12055-6S,Смеситель для кухонной мойки KAISER Douglas (12055-6S),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

**KAISER Douglas 12055-6 SATIN Смеситель для кухни Сатин**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: сатин
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Система быстрого монтажа: есть",KAISER,6240.0,0.0,0,https://static-ru.insales.ru/images/products/1/4589/486216173/medium_31274808-1.jpg https://static-ru.insales.ru/images/products/1/4590/486216174/medium_31274808-2.jpg,https://santitan.ru/product_by_id/269460661,Wildberries WB,269460661,467761660
29,13044-5,Смеситель для кухонной мойки KAISER Teka (13044-5),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Teka 13044-5 Nickel Смеситель для кухни под фильтр Никель**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: никель
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,9540.0,0.0,5,https://static-ru.insales.ru/images/products/1/4607/486216191/medium_31274858-1.jpg https://static-ru.insales.ru/images/products/1/4608/486216192/medium_31274858-2.jpg,https://santitan.ru/product_by_id/269460664,Wildberries WB,269460664,467761667
30,21544Silver,Смеситель для кухонной мойки KAISER City (21544 Silver),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

Смеситель для кухонной мойки KAISER City (21544 Silver)

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: серебро
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная",KAISER,8251.0,0.0,0,https://static-ru.insales.ru/images/products/1/4616/486216200/medium_31274863-1.jpg https://static-ru.insales.ru/images/products/1/4617/486216201/medium_31274863-2.jpg,https://santitan.ru/product_by_id/269460665,Wildberries WB,269460665,467761676
31,Leandro,Зерновой кофе Cafe Venezia Leandro,"Кофейная смесь Leandro производится с использованием наших самых любимых сортов кофе единого происхождения, получаемых сухим или натуральным способом, чтобы поддерживать оттенки шоколада и сохранять низкую кислотность кофейной смеси. Кофе обладает крепким телом, и, хотя обжарка остается средней, оно демонстрирует очень богатую сливочность и типичный профиль южных регионов Италии, где традиционный кофе является сливочным и насыщенным.

**Способ приготовления:** в эспрессомашине - 35-50 мл воды на 6-7 грамм молотого кофе; в фильтрационной кофеварке или турке - 100-150 мл на 6-7 грамм молотого кофе.

**Условия хранения:** хранить в сухом прохладном месте.",Cafe Venezia,1452.0,0.0,0,https://static-ru.insales.ru/images/products/1/4628/486216212/medium_37409866-1.jpg https://static-ru.insales.ru/images/products/1/4629/486216213/medium_37409866-2.jpg https://static-ru.insales.ru/images/products/1/4630/486216214/medium_37409866-3.jpg https://static-ru.insales.ru/images/products/1/4631/486216215/medium_37409866-4.jpg,https://santitan.ru/product_by_id/269460668,Wildberries WB,269460668,467761696
32,13044-4,Смеситель для кухонной мойки KAISER Teka (13044-4),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Teka 13044-4 Sand Beige Смеситель для кухни под фильтр Песочный мрамор (бежевый песок)**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: песочный мрамор
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,8940.0,0.0,5,https://static-ru.insales.ru/images/products/1/4592/486216176/medium_31274816-1.jpg https://static-ru.insales.ru/images/products/1/4593/486216177/medium_31274816-2.jpg,https://santitan.ru/product_by_id/269460670,Wildberries WB,269460670,467761700
33,31145-3,Смеситель для кухонной мойки KAISER Vincent (31145-3),"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.

**KAISER Vincent 31145-3 Bronze Смеситель для кухни под фильтр Бронза**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: бронза
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,10630.0,0.0,10,https://static-ru.insales.ru/images/products/1/4594/486216178/medium_31274817-1.jpg https://static-ru.insales.ru/images/products/1/4595/486216179/medium_31274817-2.jpg,https://santitan.ru/product_by_id/269460674,Wildberries WB,269460674,467761702
34,31244-5,Смеситель под фильтр для кухонной мойки KAISER Vincent (31244-5) Черный мрамор,"Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования

**KAISER Vincent 31244-5 Black Смеситель для кухни под фильтр Черный мрамор**

- Тип: однорычажный
- Назначение: для кухни
- Материал: латунь
- Поверхность: черный мрамор
- Запорный клапан: керамический картридж
- Тип излива: поворотный
- Форма излива: традиционная
- Возможность подключения фильтра: есть",KAISER,9610.0,0.0,5,https://static-ru.insales.ru/images/products/1/4597/486216181/medium_31274818-1.jpg https://static-ru.insales.ru/images/products/1/4598/486216182/medium_31274818-2.jpg,https://santitan.ru/product_by_id/269460675,Wildberries WB,269460675,467761710
35,31844-3,Смеситель для кухонной мойки KAISER Vincent (31844-3) под фильтр  Bronze,"**KAISER Vincent 31844-3 Bronze Смеситель для кухни под фильтр бронза**

Смесители и душевые системы Kaiser - результат десятилетий работы лучших европейских дизайнеров и инженеров. Все изделия выполнены из высококачественной латуни, оснащены керамическими картриджами и кранбуксами, выдерживающими многотысячные циклы использования.",KAISER,9610.0,0.0,5,https://static-ru.insales.ru/images/products/1/4621/486216205/medium_31274900-1.jpg https://static-ru.insales.ru/images/products/1/4624/486216208/medium_31274900-2.jpg,https://santitan.ru/product_by_id/269460679,Wildberries WB,269460679,467761712
